A1, A2, A3
7372.0, 10190.0, 10375.0
8313.0, 7671.0, 9424.0
13815.0, 13056.0, 14509.0
8787.0, 8603.0, 13920.0
14784.0, 21206.0, 14034.0
12117.0, 11555.0, 13728.0
7003.0, 9605.0, 8105.0
17079.0, 10499.0, 10389.0
18853.0, 13528.0, 14703.0
10879.0, 15840.0, 17595.0
34657.0, 27684.0, 26041.0
148045.0, 160881.0, 129441.0
8920.0, 8465.0, 9820.0
10275.0, 32896.0, 9750.0
9254.0, 9858.0, 12102.0
18230.0, 15896.0, 13955.0
14478.0, 12874.0, 18534.0
21338.0, 19805.0, 23229.0
8532.0, 9697.0, 12139.0
25942.0, 22337.0, 21782.0
170169.0, 306827.0, 265451.0
